::1 - - [26/Jun/2017:19:10:27 +0000] "POST / HTTP/1.1" 404 140
::1 - - [26/Jun/2017:19:10:34 +0000] "GET / HTTP/1.1" 200 976
::1 - - [26/Jun/2017:19:10:34 +0000] "GET /styles.css HTTP/1.1" 404 149
::1 - - [26/Jun/2017:19:10:34 +0000] "GET /app.js HTTP/1.1" 404 145
::1 - - [26/Jun/2017:19:10:34 +0000] "GET /app.js HTTP/1.1" 404 145
::1 - - [26/Jun/2017:19:12:46 +0000] "GET / HTTP/1.1" 304 -
::1 - - [26/Jun/2017:19:12:46 +0000] "GET /styles.css HTTP/1.1" 404 149
::1 - - [26/Jun/2017:19:12:46 +0000] "GET /app.js HTTP/1.1" 404 145
::1 - - [26/Jun/2017:19:12:46 +0000] "GET /app.js HTTP/1.1" 404 145
::1 - - [26/Jun/2017:19:12:47 +0000] "GET / HTTP/1.1" 304 -
::1 - - [26/Jun/2017:19:12:47 +0000] "GET /styles.css HTTP/1.1" 404 149
::1 - - [26/Jun/2017:19:12:47 +0000] "GET /app.js HTTP/1.1" 404 145
::1 - - [26/Jun/2017:19:12:48 +0000] "GET /app.js HTTP/1.1" 404 145
