::1 - - [27/Jun/2017:19:57:24 +0000] "POST / HTTP/1.1" 500 2297
::1 - - [27/Jun/2017:19:57:26 +0000] "GET / HTTP/1.1" 200 1258
::1 - - [27/Jun/2017:19:57:26 +0000] "GET /images.js HTTP/1.1" 404 148
::1 - - [27/Jun/2017:19:57:26 +0000] "GET /app.js HTTP/1.1" 404 145
::1 - - [27/Jun/2017:19:57:26 +0000] "GET /images.js HTTP/1.1" 404 148
::1 - - [27/Jun/2017:19:57:26 +0000] "GET /app.js HTTP/1.1" 404 145
::1 - - [27/Jun/2017:19:59:53 +0000] "GET / HTTP/1.1" 304 -
::1 - - [27/Jun/2017:19:59:53 +0000] "GET /images.js HTTP/1.1" 404 148
::1 - - [27/Jun/2017:19:59:53 +0000] "GET /app.js HTTP/1.1" 404 145
::1 - - [27/Jun/2017:19:59:53 +0000] "GET /images.js HTTP/1.1" 404 148
::1 - - [27/Jun/2017:19:59:53 +0000] "GET /app.js HTTP/1.1" 404 145
